Species,Spp Code,Threat,Stress,Sensitivity,Literature Quote,Citation
Connecticut Warbler (Oporornis agilis),conwar,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),"Table 3. Per species avian annual mortality at communication towers in central and eastern North America, for species with >1% annual mortality from communication towers.","""Longcore T et al. 2013. Avian mortality at communication towers in the United States and Canada: which species, how many, and where? Biological Conservation 158:410–419. Available from https://www.sciencedirect.com/science/article/pii/S0006320712004144 (accessed May 16, 2024)."""
Connecticut Warbler (Oporornis agilis),conwar,5.3.1 Logging and wood harvesting,1.1 Ecosystem conversion,Negative impact (Literature),"On breeding grounds, logging of aspen stands combined with herbicides that reduce understory vegetation is the most serious threat in British Columbia (Cooper et al. 1997, Cooper and Beauchesne 2004). ","""Guzy MJ, Ritchison G. 2020. Common Yellowthroat (Geothlypis trichas), version 1.0. Birds of the WorldDOI: 10.2173/bow.comyel.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/comyel/cur/introduction (accessed May 15, 2024)."""
Connecticut Warbler (Oporornis agilis),conwar,5.3.1 Logging and wood harvesting,1.2 Ecosystem degradation,Negative impact (Literature),"Tree retention levels of 0% (clearcut), 20%, and 50% resulted in decreases in abundance or disappearance of Connecticut Warblers versus 100% retention levels (no cutting) that showed an increase in abundance (Harrison et al. 2005).","""Guzy MJ, Ritchison G. 2020. Common Yellowthroat (Geothlypis trichas), version 1.0. Birds of the WorldDOI: 10.2173/bow.comyel.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/comyel/cur/introduction (accessed May 15, 2024)."""
Connecticut Warbler (Oporornis agilis),conwar,5.3.1 Logging and wood harvesting,1.2 Ecosystem degradation,Positive impact (Literature),Tittler et al. (2001) found a decrease in abundance with an increase in basal area of trees left behind in cutblocks; results suggest that Connecticut Warblers benefit from logging practices involving retention of lower densities of residual trees.,"""Guzy MJ, Ritchison G. 2020. Common Yellowthroat (Geothlypis trichas), version 1.0. Birds of the WorldDOI: 10.2173/bow.comyel.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/comyel/cur/introduction (accessed May 15, 2024)."""
Connecticut Warbler (Oporornis agilis),conwar,7.3.1 Inadequate forest management,1.2 Ecosystem degradation,No negative impact (Literature),"Corridors linking forest fragments caused by logging do not appear to affect Connecticut Warblers. Abundances were relatively stable in fragments surrounded by clearcuts on three sides but connected to similar fragments by riparian corridors in Alberta. But, abundances increased in isolated fragments completely surrounded by clearcuts, created temporary overcrowding followed by decreasing abundance (Schmiegelow et al. 1997). Hannon and Schmiegelow (2002) also found equivocal evidence of the benefits of corridors. Abundance levels among control plots, isolated plots and plots connected by corridors varied annually from 1995-1998 with no obvious trend suggesting benefits of corridors.","""Guzy MJ, Ritchison G. 2020. Common Yellowthroat (Geothlypis trichas), version 1.0. Birds of the WorldDOI: 10.2173/bow.comyel.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/comyel/cur/introduction (accessed May 15, 2024)."""
Connecticut Warbler (Oporornis agilis),conwar,9.6.1 Light pollution,2.1 Species mortality,Negative impact (Literature),"At a fine scale, negative consequences have been demonstrated for birds during nocturnal migratory flight. Point sources of ALAN disorient and attract birds actively engaged in migration27,31–34 to the extent that birds can be “trapped” by bright sources of ALAN when migrating over urban areas. High-intensity urban light installations can dramatically alter multiple behaviors of nocturnally migrating birds even to distances of several kilometers from the source35. Migrants will slow down their flight speed, start circling the light source, and call more frequently near the lights. It is well known that bird mortality due to collisions with buildings is related to light emissions from the buildings","""Cabrera-Cruz SA, Smolinsky JA, Buler JJ. 2018. Light pollution is greatest within migration passage areas for nocturnally-migrating birds around the world. Scientific Reports (Nature Publisher Group) 8:1–8. Available from https://www.proquest.com/docview/2004127038/abstract/3A5554D8374140E2PQ/1 (accessed May 16, 2024)."""
Connecticut Warbler (Oporornis agilis),conwar,9.6.1 Light pollution,2.1 Species mortality,Negative impact (Literature),"Reports of birds striking lighthouses, buildings, TV towers, etc. during migration (see Conservation and Management - Collisions With Stationary/Moving Structures Or Objects). ","""Guzy MJ, Ritchison G. 2020. Common Yellowthroat (Geothlypis trichas), version 1.0. Birds of the WorldDOI: 10.2173/bow.comyel.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/comyel/cur/introduction (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,1.1 Housing & Urban Areas,2.1 Species mortality,Negative impact (Literature),Table 4: Estimates of species vulnerability to building collisions,"""Loss SR, Will T, Loss SS, Marra PP. 2014. Bird–building collisions in the United States: Estimates of annual mortality and species vulnerability. The Condor 116:8–23. Available from https://doi.org/10.1650/CONDOR-13-090.1 (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,1.1.1 High-density urban development,2.1 Species mortality,Negative impact (Extrapolated),"Considering the family level ofbirds in the CCA, we noted that members of the Parulidae were more strongly associated with higher GreenLevels (high tree canopy and exposed habitats; Fig.5).","""Cusa M, Jackson DA, Mesure M. 2015. Window collisions by migratory bird species: Urban geographical patterns and habitat associations. Urban Ecosystems 18:1427–1446. Available from https://doi.org/10.1007/s11252-015-0459-3 (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,1.1.1 High-density urban development,2.1 Species mortality,Negative impact (Literature),Table 4: Estimates of species vulnerability to building collisions,"""Loss SR, Will T, Loss SS, Marra PP. 2014. Bird–building collisions in the United States: Estimates of annual mortality and species vulnerability. The Condor 116:8–23. Available from https://doi.org/10.1650/CONDOR-13-090.1 (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,1.1.2 Low-density suburban development,1.1 Ecosystem conversion,Negative impact (Literature),Identified as a threat in 2 of 8 breeding regions in Golden-winged Warbler conservation plan,"""Roth AM, Rohrbaugh RW, Will T, Buehler DA. 2012. Golden-winged Warbler  status review and conservation plan. Available from https://gwwa.org/."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Flycatchers, tanagers, vireos, warblers, thrushes, and bluebirds respond negatively to urbanization in ponderosa pine forests.","""Chace JF, Walsh JJ. 2006. Urban effects on native avifauna: a review. Landscape and Urban Planning 74:46–69. Available from https://www.sciencedirect.com/science/article/pii/S016920460400146X (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Table 1, list of sensitive species","""Glennon MJ, Kretser HE. 2013. Size of the ecological effect zone associated with exurban development in the Adirondack Park, NY. Landscape and Urban Planning 112:10–17."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,1.1.2 Low-density suburban development,2.1 Species mortality,Negative impact (Literature),"This study corroborates the finding of the Canadian study regardingthe large amount of mortality at residences, supports the conclusion that the most vulnerablespecies are long-distance migrants, and identifies additional supercolliders, including several USBirds of Conservation Concern (USFWS 2008) [e.g., the Painted Bunting (Passerina ciris)andtheGolden-winged Warbler (Vermivora chrysoptera)].","""Loss SR, Will T, Marra PP. 2015. Direct mortality of birds from anthropogenic causes. Annual Review of Ecology, Evolution, and Systematics 46:99–120. Available from https://www.annualreviews.org/content/journals/10.1146/annurev-ecolsys-112414-054133 (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.1 Annual & Perennial Non-Timber Crops,1.1 Ecosystem conversion,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.1 Annual & Perennial Non-Timber Crops,1.2 Ecosystem degradation,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Extrapolated),"Today, the expansion of agriculture continues to be the major driver of biodiversity loss. Agriculture affects every type of habitat and impacts 76% of the landbird species of highest conservation concern; 65% are threatened by unsustainable livestock grazing. Preventing the conversion of large areas of habitat, whether grassland, forest, or aridlands, in the core distribution of species of concern will be necessary to stem the rapid decline of many landbirds","""Berlanga H, Kennedy J, Rich T. 2010. Saving our shared birds: Partners in Flight Tri-national vision for landbird conservation. United States Fish and Wildlife: Staff Publications. Available from https://digitalcommons.unl.edu/usfwspubs/376."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Literature), Identified as a threat in 1 of 8 Breeding regions in Golden-winged Warbler conservation plan,"""Roth AM, Rohrbaugh RW, Will T, Buehler DA. 2012. Golden-winged Warbler  status review and conservation plan. Available from https://gwwa.org/."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Literature),Agriculture (industrial and small holder); Identified as a threat to winter habitat (Table 4-2-2) in Golden-winged Warbler conservation plan,"""Roth AM, Rohrbaugh RW, Will T, Buehler DA. 2012. Golden-winged Warbler  status review and conservation plan. Available from https://gwwa.org/."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,No negative impact (Extrapolated),"The most abundant families were: Trochilidae, Tyrannidae with 12 species respecting, Parulidae 11, and Icteridae with nine species.","""Anonymous. 2018. Avifauna study for the Acajutla-Ahuachapán row of “LNG to Power” project transmission line, Energía del Pacífico, El Salvador. Page 33. Available from https://www3.dfc.gov/Environment/EIA/energia/Transmission_ESIA/Avifauna_Study.pdf."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.1.3 Agriculture development,1.2 Ecosystem degradation,Negative impact (Literature),"Threats & impact table: Search terms
Region = North America
Species Threat is:
   Annual & perennial non-timber crops - Threats & impact table: Agro-industry farming or
   Annual & perennial non-timber crops - Scale Unknown/Unrecorded or
   Annual & perennial non-timber crops - Shifting agriculture or
   Annual & perennial non-timber crops - Small-holder farming",BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.2 Wood & Pulp Plantations,1.1 Ecosystem conversion,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.2 Wood & Pulp Plantations,1.2 Ecosystem degradation,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.3.2 Pasture development,1.1 Ecosystem conversion,Negative impact (Extrapolated),"Today, the expansion of agriculture continues to be the major driver of biodiversity loss. Agriculture affects every type of habitat and impacts 76% of the landbird species of highest conservation concern; 65% are threatened by unsustainable livestock grazing. Preventing the conversion of large areas of habitat, whether grassland, forest, or aridlands, in the core distribution of species of concern will be necessary to stem the rapid decline of many landbirds","""Aldinger KR, Wood PB. 2014. Reproductive success and habitat characteristics of Golden-winged Warblers in high-elevation pasturelands. The Wilson Journal of Ornithology 126:279–287. The Wilson Ornithological Society."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.3.2 Pasture development,1.1 Ecosystem conversion,Negative impact (Literature),"Listed in Table 2 ""Projected vulnerability of neotropical migratory landbirds to anthtropogenic alteration of tropical broadleaved forests.""
","""Petit DR, Lynch JF, Hutto RL, Blake JG, Waide RB. 1993. Management and conservation of migratory landbirds overwintering in the Neotropics. Status and management of Neotropical migratory birds; 1992 September 21-25; Estes Park, CO. Gen. Tech. Rep. RM-229. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station. 422 p. Pages 70–92."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,2.3.2 Pasture development,1.1 Ecosystem conversion,Negative impact (Literature),Identified as a threat to winter habitat (Table 4-2-2) in the Golden-winged Warbler Conservation Plan,"""Roth AM, Rohrbaugh RW, Will T, Buehler DA. 2012. Golden-winged Warbler  status review and conservation plan. Available from https://gwwa.org/."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,3.3.1 Onshore wind turbine installations,2.1 Species mortality,Negative impact (Extrapolated),Table 2,"""Choi DY, Wittig TW, Kluever BM. 2020. An evaluation of bird and bat mortality at wind turbines in the Northeastern United States. PLOS ONE 15:e0238034. Available from https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0238034 (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,3.3.1 Onshore wind turbine installations,2.1 Species mortality,Negative impact (Extrapolated),"At the level of passerine families, six of 24 taxa made up about half (47.5%) of all bird fatalities from wind energy developments in our  analysis  (Table 3):  Alaudidae  (larks;  13.7%  of  all  fatalities), Parulidae   (wood-warblers;   10.8%),   Vireonidae   (vireos;   6.5%), Icteridae    (blackbirds/orioles;    6.1%),    Emberizidae    (sparrows; 6.0%) and Regulidae (kinglets; 4.4%).","""Erickson WP, Wolfe MM, Bay KJ, Johnson DH, Gehring JL. 2014. A comprehensive analysis of small-passerine fatalities from collision with turbines at wind energy facilities. PLOS ONE 9:e107491. Available from https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0107491 (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,4.1.1 Roadways,2.1 Species mortality,Negative impact (Extrapolated),Mortality stress was extrapolated to all warblers that are described as foraging low (Stephenson and Whittle. 2013. The Warbler Guide) as all warblers reported found dead on roadways were those that forage low (Bishop and Brogan 2013).,"""Bishop C, Brogan J. 2013. Estimates of avian mortality attributed to vehicle collisions in Canada. Avian Conservation and Ecology 8. Available from https://www.ace-eco.org/vol8/iss2/art2/ (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,4.2.1 Power transmission and distribution lines,1.1 Ecosystem conversion,Positive impact (Literature),"Conversely, herbicide use on utility rights-of-ways helps maintain patchy habitat used by Golden-winged Warblers (JLC).","""Confer JL, Hartman P, Roth A. 2020. Golden-winged Warbler (Vermivora chrysoptera), version 1.0. Birds of the WorldDOI: 10.2173/bow.gowwar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/gowwar/cur/introduction (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,4.2.1 Power transmission and distribution lines,2.1 Species mortality,Possible negative impact (Extrapolated),"Table 1 (very low overal numbers, so 0.5)",Bevanger K. 1998. Biological and conservation aspects of bird mortality caused by electricity power lines: a review. Biological Conservation 86:67–76.
Golden-winged Warbler (Vermivora chrysoptera),gowwar,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),542 Golden-winged Warblers were reported killed at 15 of 47 surveyed communication towers.,"""Confer JL, Hartman P, Roth A. 2020. Golden-winged Warbler (Vermivora chrysoptera), version 1.0. Birds of the WorldDOI: 10.2173/bow.gowwar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/gowwar/cur/introduction (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),"Table 3. Per species avian annual mortality at communication towers in central and eastern North America, for species with >1% annual mortality from communication towers.","""Longcore T et al. 2013. Avian mortality at communication towers in the United States and Canada: which species, how many, and where? Biological Conservation 158:410–419. Available from https://www.sciencedirect.com/science/article/pii/S0006320712004144 (accessed May 16, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,5.3.1 Logging and wood harvesting,1.2 Ecosystem degradation,Positive impact (Literature),"Disturbed sites, such as abandoned farmland and aspen clearcuts and fire managed forest stands provide regionally important nesting habitat.","""Confer JL, Hartman P, Roth A. 2020. Golden-winged Warbler (Vermivora chrysoptera), version 1.0. Birds of the WorldDOI: 10.2173/bow.gowwar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/gowwar/cur/introduction (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,7.3.1 Inadequate forest management,1.2 Ecosystem degradation,Negative impact (Literature),"Disturbed sites, such as abandoned farmland and aspen clearcuts and fire managed forest stands provide regionally important nesting habitat. Declines of these habitat types owing to reforestation, fire suppression, reduced timber harvest, urban sprawl, and reduced acreage of recently abandoned farmland are associated with population declines throughout most of the Golden-wing range.","""Confer JL, Hartman P, Roth A. 2020. Golden-winged Warbler (Vermivora chrysoptera), version 1.0. Birds of the WorldDOI: 10.2173/bow.gowwar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/gowwar/cur/introduction (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,7.3.1 Inadequate forest management,1.2 Ecosystem degradation,Negative impact (Literature),Identified as a threat in 5 of 8 breeding regions in the Golden-winged Warbler Conservation Plan.,"""Roth AM, Rohrbaugh RW, Will T, Buehler DA. 2012. Golden-winged Warbler  status review and conservation plan. Available from https://gwwa.org/."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,8.1.1 Domestic cats,2.1 Species mortality,Negative impact (Literature),"Listed on the GWWA Working Group website as a threat.
Also listed in Appendix 1 of Blancher 2013","""Blancher P. 2013. Estimated number of birds killed by house cats (Felis catus) in Canada. Avian Conservation and Ecology 8. Available from https://www.ace-eco.org/vol8/iss2/art3/ (accessed May 15, 2024)."""
Golden-winged Warbler (Vermivora chrysoptera),gowwar,9.6.1 Light pollution,2.1 Species mortality,Negative impact (Extrapolated),"At a fine scale, negative consequences have been demonstrated for birds during nocturnal migratory flight. Point sources of ALAN disorient and attract birds actively engaged in migration27,31–34 to the extent that birds can be “trapped” by bright sources of ALAN when migrating over urban areas. High-intensity urban light installations can dramatically alter multiple behaviors of nocturnally migrating birds even to distances of several kilometers from the source35. Migrants will slow down their flight speed, start circling the light source, and call more frequently near the lights. It is well known that bird mortality due to collisions with buildings is related to light emissions from the buildings","""Cabrera-Cruz SA, Smolinsky JA, Buler JJ. 2018. Light pollution is greatest within migration passage areas for nocturnally-migrating birds around the world. Scientific Reports (Nature Publisher Group) 8:1–8. Available from https://www.proquest.com/docview/2004127038/abstract/3A5554D8374140E2PQ/1 (accessed May 16, 2024)."""
Grace's Warbler (Setophaga graciae),grawar,1.1 Housing & Urban Areas,1.1 Ecosystem conversion,Negative impact (Literature),Urbanization expected to impact pine canopy-nesting warblers (Marzluff 1997).,"""Staicer CA, Guzy MJ. 2020. Grace’s Warbler (Setophaga graciae), version 1.0. Birds of the WorldDOI: 10.2173/bow.grawar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/grawar/cur/introduction (accessed May 15, 2024)."""
Grace's Warbler (Setophaga graciae),grawar,1.1.1 High-density urban development,2.1 Species mortality,Negative impact (Extrapolated),"Considering the family level ofbirds in the CCA, we noted that members of the Parulidae were more strongly associated with higher GreenLevels (high tree canopy and exposed habitats; Fig.5).","""Cusa M, Jackson DA, Mesure M. 2015. Window collisions by migratory bird species: Urban geographical patterns and habitat associations. Urban Ecosystems 18:1427–1446. Available from https://doi.org/10.1007/s11252-015-0459-3 (accessed May 15, 2024)."""
Grace's Warbler (Setophaga graciae),grawar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Flycatchers, tanagers, vireos, warblers, thrushes, and bluebirds respond negatively to urbanization in ponderosa pine forests.","""Chace JF, Walsh JJ. 2006. Urban effects on native avifauna: a review. Landscape and Urban Planning 74:46–69. Available from https://www.sciencedirect.com/science/article/pii/S016920460400146X (accessed May 15, 2024)."""
Grace's Warbler (Setophaga graciae),grawar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),Figure 5 human-adapted avian species with greater density in undeveloped areas,"""Odell EA, Knight RL. 2001. Songbird and medium-sized mammal communities associated with exurban development in Pitkin County, Colorado. Conservation Biology 15:1143–1150. [Wiley, Society for Conservation Biology]."""
Grace's Warbler (Setophaga graciae),grawar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Extrapolated),"Today, the expansion of agriculture continues to be the major driver of biodiversity loss. Agriculture affects every type of habitat and impacts 76% of the landbird species of highest conservation concern; 65% are threatened by unsustainable livestock grazing. Preventing the conversion of large areas of habitat, whether grassland, forest, or aridlands, in the core distribution of species of concern will be necessary to stem the rapid decline of many landbirds","""Berlanga H, Kennedy J, Rich T. 2010. Saving our shared birds: Partners in Flight Tri-national vision for landbird conservation. United States Fish and Wildlife: Staff Publications. Available from https://digitalcommons.unl.edu/usfwspubs/376."""
Grace's Warbler (Setophaga graciae),grawar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Literature),"Also of great concern is the transformation of pine-oak woodlands into crop lands, especially in central Mexico, where woodlands are more fragmented and discontinuous.","""Staicer CA, Guzy MJ. 2020. Grace’s Warbler (Setophaga graciae), version 1.0. Birds of the WorldDOI: 10.2173/bow.grawar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/grawar/cur/introduction (accessed May 15, 2024)."""
Grace's Warbler (Setophaga graciae),grawar,2.3.1 Grazing of natural vegetation,1.1 Ecosystem conversion,Negative impact (Literature),"Present-day ponderosa-pine forests differ greatly from presettlement forests because of logging, fuelwood harvest, fire suppression, grazing, and urban development (Block and Finch 1997). ","""Staicer CA, Guzy MJ. 2020. Grace’s Warbler (Setophaga graciae), version 1.0. Birds of the WorldDOI: 10.2173/bow.grawar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/grawar/cur/introduction (accessed May 15, 2024)."""
Grace's Warbler (Setophaga graciae),grawar,3.3.1 Onshore wind turbine installations,2.1 Species mortality,Negative impact (Extrapolated),Table 2,"""Choi DY, Wittig TW, Kluever BM. 2020. An evaluation of bird and bat mortality at wind turbines in the Northeastern United States. PLOS ONE 15:e0238034. Available from https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0238034 (accessed May 15, 2024)."""
Grace's Warbler (Setophaga graciae),grawar,3.3.1 Onshore wind turbine installations,2.1 Species mortality,Negative impact (Extrapolated),"At the level of passerine families, six of 24 taxa made up about half (47.5%) of all bird fatalities from wind energy developments in our  analysis  (Table 3):  Alaudidae  (larks;  13.7%  of  all  fatalities), Parulidae   (wood-warblers;   10.8%),   Vireonidae   (vireos;   6.5%), Icteridae    (blackbirds/orioles;    6.1%),    Emberizidae    (sparrows; 6.0%) and Regulidae (kinglets; 4.4%).","""Erickson WP, Wolfe MM, Bay KJ, Johnson DH, Gehring JL. 2014. A comprehensive analysis of small-passerine fatalities from collision with turbines at wind energy facilities. PLOS ONE 9:e107491. Available from https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0107491 (accessed May 15, 2024)."""
Grace's Warbler (Setophaga graciae),grawar,4.2.1 Power transmission and distribution lines,2.1 Species mortality,Possible negative impact (Extrapolated),"Table 1 (very low overal numbers, so 0.5)",Bevanger K. 1998. Biological and conservation aspects of bird mortality caused by electricity power lines: a review. Biological Conservation 86:67–76.
Grace's Warbler (Setophaga graciae),grawar,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Extrapolated),"Neotropical migrants suffer the greatest mortality; 97.4% of birds killed are passerines, mostly warblers (Parulidae, 58.4%), vireos (Vireonidae, 13.4%), thrushes (Turdidae, 7.7%), and sparrows (Emberizidae, 5.8%)","""Longcore T et al. 2013. Avian mortality at communication towers in the United States and Canada: which species, how many, and where? Biological Conservation 158:410–419. Available from https://www.sciencedirect.com/science/article/pii/S0006320712004144 (accessed May 16, 2024)."""
Grace's Warbler (Setophaga graciae),grawar,7.3.1 Inadequate forest management,1.1 Ecosystem conversion,Negative impact (Literature),Thought to be much less common today than before European settlement and logging transformed the structure of pine forests (Block and Finch 1997).,"""Staicer CA, Guzy MJ. 2020. Grace’s Warbler (Setophaga graciae), version 1.0. Birds of the WorldDOI: 10.2173/bow.grawar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/grawar/cur/introduction (accessed May 15, 2024)."""
Grace's Warbler (Setophaga graciae),grawar,9.6.1 Light pollution,2.1 Species mortality,Negative impact (Extrapolated),"At a fine scale, negative consequences have been demonstrated for birds during nocturnal migratory flight. Point sources of ALAN disorient and attract birds actively engaged in migration27,31–34 to the extent that birds can be “trapped” by bright sources of ALAN when migrating over urban areas. High-intensity urban light installations can dramatically alter multiple behaviors of nocturnally migrating birds even to distances of several kilometers from the source35. Migrants will slow down their flight speed, start circling the light source, and call more frequently near the lights. It is well known that bird mortality due to collisions with buildings is related to light emissions from the buildings","""Cabrera-Cruz SA, Smolinsky JA, Buler JJ. 2018. Light pollution is greatest within migration passage areas for nocturnally-migrating birds around the world. Scientific Reports (Nature Publisher Group) 8:1–8. Available from https://www.proquest.com/docview/2004127038/abstract/3A5554D8374140E2PQ/1 (accessed May 16, 2024)."""
Hermit Warbler (Setophaga occidentalis),herwar,1.1.1 High-density urban development,2.1 Species mortality,Negative impact (Extrapolated),"Considering the family level ofbirds in the CCA, we noted that members of the Parulidae were more strongly associated with higher GreenLevels (high tree canopy and exposed habitats; Fig.5).","""Cusa M, Jackson DA, Mesure M. 2015. Window collisions by migratory bird species: Urban geographical patterns and habitat associations. Urban Ecosystems 18:1427–1446. Available from https://doi.org/10.1007/s11252-015-0459-3 (accessed May 15, 2024)."""
Hermit Warbler (Setophaga occidentalis),herwar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Flycatchers, tanagers, vireos, warblers, thrushes, and bluebirds respond negatively to urbanization in ponderosa pine forests.","""Chace JF, Walsh JJ. 2006. Urban effects on native avifauna: a review. Landscape and Urban Planning 74:46–69. Available from https://www.sciencedirect.com/science/article/pii/S016920460400146X (accessed May 15, 2024)."""
Hermit Warbler (Setophaga occidentalis),herwar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),Figure 5 human-adapted avian species with greater density in undeveloped areas,"""Odell EA, Knight RL. 2001. Songbird and medium-sized mammal communities associated with exurban development in Pitkin County, Colorado. Conservation Biology 15:1143–1150. [Wiley, Society for Conservation Biology]."""
Hermit Warbler (Setophaga occidentalis),herwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Extrapolated),"Today, the expansion of agriculture continues to be the major driver of biodiversity loss. Agriculture affects every type of habitat and impacts 76% of the landbird species of highest conservation concern; 65% are threatened by unsustainable livestock grazing. Preventing the conversion of large areas of habitat, whether grassland, forest, or aridlands, in the core distribution of species of concern will be necessary to stem the rapid decline of many landbirds","""Berlanga H, Kennedy J, Rich T. 2010. Saving our shared birds: Partners in Flight Tri-national vision for landbird conservation. United States Fish and Wildlife: Staff Publications. Available from https://digitalcommons.unl.edu/usfwspubs/376."""
Hermit Warbler (Setophaga occidentalis),herwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,No negative impact (Extrapolated),"The most abundant families were: Trochilidae, Tyrannidae with 12 species respecting, Parulidae 11, and Icteridae with nine species.","""Anonymous. 2018. Avifauna study for the Acajutla-Ahuachapán row of “LNG to Power” project transmission line, Energía del Pacífico, El Salvador. Page 33. Available from https://www3.dfc.gov/Environment/EIA/energia/Transmission_ESIA/Avifauna_Study.pdf."""
Hermit Warbler (Setophaga occidentalis),herwar,2.3.2 Pasture development,1.1 Ecosystem conversion,Negative impact (Literature),"Listed in Table 2 ""Projected vulnerability of neotropical migratory landbirds to anthtropogenic alteration of tropical broadleaved forests.""
","""Petit DR, Lynch JF, Hutto RL, Blake JG, Waide RB. 1993. Management and conservation of migratory landbirds overwintering in the Neotropics. Status and management of Neotropical migratory birds; 1992 September 21-25; Estes Park, CO. Gen. Tech. Rep. RM-229. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station. 422 p. Pages 70–92."""
